Customer_ID,Communication_Day,Communication_Type,Communication_Time,City,DateOfBirth,Qualification,Gender,Marital_Status,Occupation_Code,Total_Previous_Email_Sent,Total_Email_Open,Total_Previous_Email_Clicked,Total_Previous_SMS_Sent,Total_Previous_SMS_Replied,Total_Previous_Calls_Made,Total_Previous_Calls_attended,Total_Previous_Facebook_Notification,Total_Previous_Facebook_Clicked,Successfulchannel
1124900,Monday,service,8AM_11AM,Tier1,12-04-1990,PHD,male,married,self employeed -professional,19,4,1,13,1,7,3,5,1,sms
3929783,Thursday,promotional,11AM_2PM,Tier1,14-10-1966,Others,male,married,self employeed -professional,11,9,2,20,3,13,3,4,3,sms
1029854,Friday,service,2PM_5PM,Tier1,26-04-1973,Post Graduate,male,married,self employeed -nonprofessional,18,10,1,11,4,12,0,5,1,email
3084933,Sunday,promotional,5PM_8PM,Tier1,10-11-1976,Diploma,male,married,self employeed -professional,14,8,1,12,1,15,4,7,0,email
3374639,Sunday,promotional,2PM_5PM,Tier1,10-01-1961,PHD,male,u,salaried,19,5,1,13,5,8,5,5,3,sms
831037,Wednesday,service,8PM-12PM,Tier1,22-01-1978,Others,male,u,self employeed -nonprofessional,13,7,2,14,3,9,5,3,2,sms
4526910,Tuesday,promotional,8AM_11AM,Tier1,27-12-1966,Diploma,male,u,self employeed -nonprofessional,11,8,1,18,2,15,2,10,2,sms
4316798,Thursday,promotional,8PM-12PM,Tier1,07-03-1974,Graduate,male,married,self employeed -nonprofessional,17,4,1,11,4,6,4,9,0,email
1038099,Saturday,promotional,8PM-12PM,Tier1,21-11-1972,PHD,male,m,,18,5,0,17,1,15,0,5,2,email
1060340,Sunday,promotional,11AM_2PM,Tier1,08-07-1967,Diploma,male,married,self employeed -nonprofessional,19,4,1,20,3,10,3,10,3,email
3178945,Monday,promotional,8AM_11AM,Tier1,16-05-1974,Post Graduate,male,m,self employeed -nonprofessional,20,2,0,13,5,13,0,7,0,email
2221897,Wednesday,service,8PM-12PM,Tier1,05-02-1969,,,unmarried,salaried,11,3,1,17,3,12,5,10,1,sms
3825576,Tuesday,service,11AM_2PM,Tier1,22-05-1965,Diploma,male,unmarried,self employeed -nonprofessional,14,8,1,12,4,14,2,3,2,email
3847703,Wednesday,service,8AM_11AM,Tier1,11-03-1978,,male,u,self employeed -nonprofessional,18,2,0,19,0,8,0,4,2,sms
755950,Tuesday,service,2PM_5PM,Tier1,13-03-1971,,male,,self employeed -professional,16,9,1,15,3,7,2,7,3,sms
2452194,Thursday,promotional,8PM-12PM,Tier1,16-06-1985,,male,unmarried,self employeed -professional,12,7,0,16,1,15,5,3,3,sms
1416967,Wednesday,promotional,11AM_2PM,Tier1,14-05-1989,Diploma,,unmarried,salaried,14,8,0,13,0,6,2,7,2,facebook
3254249,Wednesday,promotional,11AM_2PM,Tier1,22-12-1966,PHD,male,unmarried,self employeed -nonprofessional,17,5,1,14,1,10,2,8,3,call
3446208,Monday,promotional,8AM_11AM,Tier1,08-05-1980,Diploma,male,married,self employeed -professional,13,5,0,16,5,13,3,6,2,email
2770205,Monday,promotional,8AM_11AM,Tier1,06-05-1964,Diploma,male,unmarried,self employeed -nonprofessional,11,5,0,20,1,9,0,6,1,facebook
4653336,Sunday,promotional,5PM_8PM,Tier1,14-08-1960,Graduate,male,married,self employeed -nonprofessional,18,9,0,12,0,9,1,3,0,call
4025459,Tuesday,service,5PM_8PM,Tier1,16-04-1980,Post Graduate,male,married,self employeed -professional,19,4,2,14,2,13,0,5,2,facebook
1765481,Tuesday,promotional,2PM_5PM,Tier1,03-12-1972,Diploma,male,unmarried,self employeed -nonprofessional,19,9,0,14,3,6,4,6,2,facebook
3458375,Tuesday,service,8AM_11AM,Tier1,28-11-1964,PHD,male,married,self employeed -professional,11,6,2,18,3,11,1,8,1,call
3644204,Wednesday,service,5PM_8PM,Tier1,31-05-1978,PHD,male,unmarried,salaried,17,4,0,17,5,15,1,9,0,call
2658106,Saturday,service,8PM-12PM,Tier1,31-07-1977,Post Graduate,male,u,self employeed -nonprofessional,14,3,0,15,5,15,4,4,1,email
3026631,Sunday,promotional,11AM_2PM,Tier1,04-02-1975,Post Graduate,male,married,salaried,17,5,0,17,4,5,3,8,0,sms
1367487,Friday,service,2PM_5PM,Tier1,28-07-1976,Post Graduate,male,m,salaried,15,3,0,11,1,11,2,4,0,facebook
4560644,Tuesday,service,11AM_2PM,Tier1,23-06-1970,PHD,male,married,salaried,20,7,0,10,0,6,3,8,3,facebook
984548,Tuesday,promotional,2PM_5PM,Tier1,22-08-1960,Others,male,married,self employeed -professional,12,7,0,20,5,6,5,7,2,call
2172755,Tuesday,service,8AM_11AM,Tier1,24-08-1982,Post Graduate,male,unmarried,salaried,17,10,1,12,5,11,5,4,2,facebook
4493455,Sunday,promotional,5PM_8PM,Tier1,25-09-1977,Others,male,u,self employeed -nonprofessional,11,2,1,17,3,9,3,6,0,email
2092769,Tuesday,promotional,8PM-12PM,Tier1,29-07-1991,PHD,male,unmarried,self employeed -professional,12,8,0,20,0,5,3,5,0,email
1016548,Wednesday,promotional,2PM_5PM,Tier1,04-03-1992,Graduate,male,m,self employeed -nonprofessional,18,6,2,11,2,6,0,10,2,facebook
4587152,Saturday,promotional,8PM-12PM,Tier1,08-01-1970,PHD,male,,self employeed -professional,15,5,2,10,0,13,5,8,3,email
2988469,Friday,promotional,5PM_8PM,Tier1,06-06-1967,Post Graduate,male,married,self employeed -professional,17,10,0,15,4,8,3,3,0,sms
4206749,Wednesday,promotional,11AM_2PM,Tier1,25-10-1978,Post Graduate,male,unmarried,self employeed -nonprofessional,20,5,2,14,4,5,5,6,3,email
4481149,Tuesday,promotional,8PM-12PM,Tier1,28-12-1984,Others,male,married,salaried,10,8,1,13,0,8,3,5,2,facebook
1957056,Tuesday,service,5PM_8PM,Tier1,02-02-1987,Graduate,male,unmarried,self employeed -professional,20,8,2,16,5,13,1,10,3,email
2590492,Monday,promotional,11AM_2PM,Tier1,29-04-1987,Diploma,male,unmarried,self employeed -professional,17,9,1,12,4,14,5,10,3,call
4475836,Wednesday,service,8PM-12PM,Tier1,17-09-1962,Others,male,unmarried,salaried,11,4,0,17,1,12,2,4,0,email
3491285,Thursday,service,11AM_2PM,Tier1,12-03-1971,Post Graduate,male,unmarried,salaried,13,7,0,13,3,8,0,3,3,call
3917370,Monday,promotional,8AM_11AM,Tier1,10-07-1968,Post Graduate,male,married,self employeed -nonprofessional,12,6,2,14,0,13,4,3,0,sms
1822646,Thursday,promotional,5PM_8PM,Tier1,14-08-1970,,male,m,self employeed -professional,15,7,0,18,1,6,5,7,0,sms
3919232,Thursday,service,8AM_11AM,Tier1,21-12-1992,Diploma,male,u,self employeed -professional,13,4,0,13,3,12,1,9,0,call
2982442,Saturday,promotional,2PM_5PM,Tier1,08-10-1966,Post Graduate,male,unmarried,self employeed -professional,19,9,1,12,1,14,4,3,3,call
4190082,Wednesday,service,5PM_8PM,Tier1,05-02-1966,PHD,male,u,self employeed -nonprofessional,20,3,0,11,2,8,0,9,3,call
4115286,Monday,promotional,11AM_2PM,Tier1,04-06-1991,,male,u,self employeed -professional,19,10,1,17,5,13,4,10,0,email
3065971,Monday,service,8PM-12PM,Tier1,20-08-1991,Post Graduate,male,married,self employeed -nonprofessional,18,4,1,12,1,6,0,9,3,call
4991148,Sunday,service,5PM_8PM,Tier1,01-02-1981,Others,male,m,salaried,10,4,1,12,5,13,2,9,2,facebook
1232950,Tuesday,service,11AM_2PM,Tier1,26-03-1986,PHD,male,other,self employeed -nonprofessional,20,7,0,11,2,9,0,9,3,facebook
2702045,Tuesday,service,11AM_2PM,Tier1,14-08-1981,Others,male,u,self employeed -professional,20,5,2,11,1,11,0,6,0,facebook
1027083,Saturday,service,11AM_2PM,Tier1,21-10-1982,,male,m,salaried,10,6,0,14,1,10,5,4,0,email
3969783,Tuesday,promotional,8AM_11AM,Tier1,02-03-1987,Diploma,male,u,self employeed -nonprofessional,17,8,1,10,3,9,0,7,1,sms
4923688,Sunday,service,11AM_2PM,Tier1,14-03-1985,Diploma,male,,self employeed -professional,19,3,1,20,2,6,4,4,1,call
1164921,Wednesday,promotional,2PM_5PM,Tier1,03-04-1963,Diploma,male,m,salaried,10,9,1,17,0,7,3,5,3,call
3411785,Monday,promotional,2PM_5PM,Tier1,06-04-1977,Diploma,male,married,self employeed -professional,10,4,2,20,2,11,0,3,0,call
2182457,Wednesday,service,8AM_11AM,Tier1,12-03-1972,PHD,male,married,salaried,13,2,0,11,4,11,2,6,0,call
3414807,Friday,promotional,2PM_5PM,Tier1,02-03-1971,PHD,male,married,self employeed -professional,20,4,2,13,1,13,3,4,2,sms
1522602,Sunday,service,2PM_5PM,Tier1,04-12-1980,,male,married,self employeed -nonprofessional,14,7,1,14,1,10,2,7,3,sms
1272580,Saturday,service,5PM_8PM,Tier1,01-03-1961,Post Graduate,male,married,self employeed -nonprofessional,10,2,0,19,1,7,2,9,0,email
720030,Monday,promotional,11AM_2PM,Tier1,24-02-1964,Others,male,unmarried,self employeed -nonprofessional,15,9,2,17,1,7,3,10,2,call
2224595,Sunday,promotional,8AM_11AM,Tier1,20-07-1974,Post Graduate,male,m,self employeed -professional,17,3,2,13,2,14,1,8,1,facebook
1062156,Wednesday,service,5PM_8PM,Tier1,10-09-1981,Others,male,married,self employeed -professional,12,6,2,11,1,6,4,4,2,sms
1680197,Friday,promotional,11AM_2PM,Tier1,20-11-1973,Graduate,male,married,self employeed -professional,16,2,0,10,2,7,5,8,2,sms
1229296,Thursday,promotional,8AM_11AM,Tier1,02-08-1970,PHD,male,u,self employeed -professional,14,7,0,10,4,12,5,10,2,call
740318,Sunday,service,8AM_11AM,Tier1,12-02-1989,Post Graduate,male,unmarried,salaried,17,4,0,12,1,14,0,8,3,sms
1090076,Friday,service,11AM_2PM,Tier1,24-10-1969,Diploma,male,u,self employeed -nonprofessional,16,5,0,13,0,12,4,10,0,sms
1254625,Thursday,service,11AM_2PM,Tier1,08-10-1965,,male,u,salaried,20,8,2,10,3,9,5,9,3,email
3949681,Thursday,service,8PM-12PM,Tier1,21-06-1981,Others,male,married,self employeed -nonprofessional,10,7,1,17,1,15,3,10,2,email
3446393,Sunday,promotional,8AM_11AM,Tier1,05-09-1989,Graduate,male,m,self employeed -nonprofessional,12,5,1,10,1,14,1,7,0,facebook
2789597,Wednesday,service,11AM_2PM,Tier1,05-09-1960,,male,m,self employeed -professional,11,9,0,17,5,15,1,3,2,email
3294690,Monday,promotional,5PM_8PM,Tier1,16-11-1964,Graduate,male,u,salaried,11,6,2,19,3,9,4,8,2,email
1292149,Saturday,promotional,8AM_11AM,Tier1,15-11-1980,Graduate,male,married,self employeed -nonprofessional,14,6,0,12,5,13,5,7,1,call
4415806,Sunday,promotional,5PM_8PM,Tier1,07-05-1977,Graduate,male,,self employeed -professional,15,7,1,14,3,12,4,10,1,email
2224978,Tuesday,service,5PM_8PM,Tier1,03-07-1982,Graduate,male,married,self employeed -professional,16,6,2,10,1,10,5,8,1,sms
1053606,Monday,promotional,8AM_11AM,Tier1,13-06-1986,Graduate,male,u,self employeed -professional,19,2,2,12,0,8,0,8,2,sms
2822740,Monday,service,2PM_5PM,Tier1,05-07-1975,PHD,male,married,self employeed -nonprofessional,13,3,1,13,1,10,0,6,3,sms
4475626,Tuesday,promotional,11AM_2PM,Tier1,05-07-1968,Graduate,male,married,salaried,17,5,2,17,2,12,0,5,2,email
3979530,Sunday,service,11AM_2PM,Tier1,11-02-1982,Graduate,male,unmarried,self employeed -professional,20,7,2,12,3,7,0,5,3,sms
3786540,Friday,service,5PM_8PM,Tier1,13-01-1978,Post Graduate,,married,self employeed -nonprofessional,11,8,0,19,5,15,1,8,3,sms
3812135,Sunday,service,8AM_11AM,Tier1,28-07-1982,Diploma,male,u,self employeed -nonprofessional,18,2,0,20,3,15,1,9,2,sms
2454048,Saturday,service,8AM_11AM,Tier1,09-10-1986,Post Graduate,male,unmarried,self employeed -nonprofessional,15,3,1,17,0,5,3,8,2,sms
4901703,Wednesday,service,2PM_5PM,Tier1,14-01-1963,Post Graduate,male,married,salaried,18,3,0,14,3,13,5,3,1,sms
820883,Monday,promotional,8PM-12PM,Tier1,26-05-1989,Post Graduate,male,married,self employeed -professional,19,9,0,16,0,15,2,8,3,call
1443040,Monday,promotional,8AM_11AM,Tier1,31-01-1960,Post Graduate,male,unmarried,self employeed -professional,13,3,0,18,0,14,1,7,2,email
2857480,Thursday,service,11AM_2PM,Tier1,23-01-1970,Others,male,m,self employeed -professional,11,3,2,17,4,10,0,8,0,email
1265605,Tuesday,promotional,11AM_2PM,Tier1,22-09-1978,Post Graduate,male,u,self employeed -nonprofessional,14,9,1,16,0,5,0,10,0,sms
2691379,Wednesday,promotional,11AM_2PM,Tier1,31-08-1963,Diploma,male,m,self employeed -professional,17,6,2,17,0,7,2,4,0,email
4035043,Monday,promotional,5PM_8PM,Tier1,01-06-1979,,male,married,self employeed -professional,13,6,2,14,5,5,2,5,3,call
1307945,Wednesday,promotional,2PM_5PM,Tier1,07-05-1992,Post Graduate,male,unmarried,self employeed -professional,13,4,0,10,2,9,1,6,1,sms
4114254,Friday,promotional,2PM_5PM,Tier1,07-08-1978,Post Graduate,male,u,salaried,14,3,0,11,5,8,2,9,0,email
3257467,Wednesday,promotional,2PM_5PM,Tier1,21-11-1961,Graduate,male,married,salaried,18,10,1,16,1,8,2,8,2,facebook
2943836,Monday,service,11AM_2PM,Tier1,03-08-1979,PHD,male,m,salaried,15,8,2,18,4,14,1,6,0,call
2936609,Saturday,promotional,11AM_2PM,Tier1,14-08-1966,Diploma,male,,self employeed -professional,18,6,1,19,0,6,5,8,0,email
4039415,Tuesday,promotional,8AM_11AM,Tier1,03-04-1985,Diploma,male,unmarried,self employeed -nonprofessional,20,4,2,19,4,12,0,4,0,call
1033211,Saturday,service,8AM_11AM,Tier1,15-02-1981,,male,unmarried,self employeed -professional,11,9,1,12,5,13,5,4,3,email
4969262,Friday,service,11AM_2PM,Tier1,05-10-1967,Others,male,married,self employeed -nonprofessional,11,8,2,15,5,12,5,5,1,call
2603852,Wednesday,promotional,2PM_5PM,Tier1,10-05-1984,Post Graduate,male,married,self employeed -nonprofessional,20,5,2,13,1,13,5,4,0,email
3214643,Monday,service,2PM_5PM,Tier1,24-10-1976,PHD,male,unmarried,self employeed -nonprofessional,14,10,2,11,1,10,3,10,2,email
868588,Tuesday,service,5PM_8PM,Tier1,16-06-1991,,,married,salaried,14,5,2,18,3,8,2,10,2,email
2846280,Sunday,service,2PM_5PM,Tier1,12-05-1964,Diploma,male,married,self employeed -professional,20,9,1,16,4,15,4,6,3,sms
1896172,Wednesday,service,2PM_5PM,Tier1,12-05-1966,Others,male,u,self employeed -nonprofessional,10,5,0,11,3,5,5,10,2,call
1060177,Thursday,service,8PM-12PM,Tier1,15-08-1966,Others,male,u,salaried,18,3,0,13,3,13,5,6,0,facebook
3025447,Tuesday,service,2PM_5PM,Tier1,20-12-1983,Graduate,male,unmarried,self employeed -professional,13,10,0,17,4,14,5,5,3,email
4094598,Thursday,service,8AM_11AM,Tier1,13-04-1977,Post Graduate,male,m,salaried,10,6,1,15,2,10,5,8,2,sms
2468870,Saturday,promotional,2PM_5PM,Tier1,08-01-1968,Diploma,male,unmarried,salaried,11,5,1,12,2,14,0,5,0,call
1601866,Sunday,promotional,8PM-12PM,Tier1,22-01-1969,Others,male,married,self employeed -nonprofessional,13,10,2,20,5,11,2,3,0,facebook
4085070,Wednesday,promotional,2PM_5PM,Tier1,02-05-1963,PHD,male,unmarried,self employeed -professional,19,3,1,15,0,6,0,5,0,email
4840073,Monday,service,11AM_2PM,Tier1,12-04-1966,Others,male,m,self employeed -professional,13,8,1,16,5,7,0,7,2,facebook
2697489,Tuesday,promotional,11AM_2PM,Tier1,16-08-1972,,male,married,self employeed -professional,15,6,0,12,4,14,1,7,0,facebook
2822037,Wednesday,service,8PM-12PM,Tier1,28-05-1980,Graduate,male,m,salaried,18,7,2,19,2,13,4,5,2,facebook
3251675,Saturday,service,11AM_2PM,Tier1,16-08-1990,Others,male,m,self employeed -nonprofessional,20,9,1,16,4,11,2,3,2,facebook
1144958,Friday,promotional,8PM-12PM,Tier1,13-01-1982,,male,u,self employeed -professional,13,9,1,12,5,9,1,8,0,call
3408764,Thursday,service,2PM_5PM,Tier1,21-11-1989,,male,,salaried,13,5,2,15,0,6,1,9,2,sms
1148397,Saturday,service,11AM_2PM,Tier1,11-05-1992,Others,male,married,self employeed -nonprofessional,11,2,1,15,4,10,5,7,3,email
2819331,Wednesday,service,11AM_2PM,Tier1,16-01-1982,Post Graduate,male,m,salaried,16,8,1,17,4,6,5,7,3,facebook
1727952,Wednesday,service,8PM-12PM,Tier1,18-09-1989,Post Graduate,male,m,salaried,12,8,2,18,0,8,4,10,2,call
1733312,Monday,promotional,2PM_5PM,Tier1,31-08-1985,Others,male,married,self employeed -nonprofessional,13,4,0,16,5,14,2,8,0,call
4106142,Monday,promotional,5PM_8PM,Tier1,01-12-1987,Post Graduate,male,unmarried,self employeed -professional,13,4,0,19,1,9,3,9,2,sms
3079372,Monday,service,2PM_5PM,Tier1,07-03-1982,PHD,,m,self employeed -professional,12,4,2,20,2,10,5,10,2,email
1120409,Friday,promotional,8AM_11AM,Tier1,20-09-1967,Diploma,male,married,salaried,18,8,1,11,3,14,3,4,1,email
2464096,Wednesday,promotional,8PM-12PM,Tier1,16-12-1979,Post Graduate,male,m,self employeed -professional,14,9,1,12,2,6,3,6,0,facebook
2643661,Tuesday,service,8PM-12PM,Tier1,04-03-1962,Graduate,male,unmarried,salaried,18,8,0,11,1,5,0,10,1,facebook
1269486,Sunday,service,8PM-12PM,Tier1,13-07-1968,,male,m,self employeed -nonprofessional,10,7,2,10,1,13,1,3,1,call
4883345,Sunday,service,5PM_8PM,Tier1,04-03-1992,Others,male,married,self employeed -professional,16,4,2,16,3,9,1,9,1,call
1048386,Wednesday,service,5PM_8PM,Tier1,15-12-1983,Diploma,male,married,self employeed -nonprofessional,14,2,1,14,0,11,1,4,2,email
2344024,Saturday,promotional,11AM_2PM,Tier1,22-01-1968,PHD,male,unmarried,self employeed -professional,15,7,1,11,3,5,3,3,2,email
2125840,Tuesday,promotional,8AM_11AM,Tier1,25-11-1973,,male,m,salaried,18,4,0,10,5,14,1,9,0,sms
1289690,Sunday,promotional,5PM_8PM,Tier1,14-12-1973,Graduate,male,m,self employeed -professional,15,8,2,13,5,8,2,3,2,facebook
2007526,Monday,promotional,5PM_8PM,Tier1,22-02-1981,PHD,male,u,self employeed -nonprofessional,10,10,2,20,0,10,2,9,3,facebook
4274201,Monday,promotional,11AM_2PM,Tier1,08-03-1974,,male,m,salaried,12,2,0,13,4,7,4,4,0,email
2574016,Wednesday,promotional,5PM_8PM,Tier1,25-09-1963,Others,male,unmarried,self employeed -nonprofessional,18,6,0,14,0,14,3,5,0,sms
4785690,Saturday,service,11AM_2PM,Tier1,07-02-1979,Graduate,male,married,self employeed -nonprofessional,14,7,0,18,5,9,3,3,3,email
3003334,Monday,promotional,11AM_2PM,Tier1,01-08-1963,Diploma,male,,self employeed -nonprofessional,14,6,0,19,2,13,0,9,0,call
4185952,Sunday,service,11AM_2PM,Tier1,15-07-1985,Graduate,male,m,self employeed -nonprofessional,20,10,1,17,3,9,3,7,2,sms
3640041,Friday,service,8AM_11AM,Tier1,09-09-1978,PHD,male,m,self employeed -nonprofessional,19,4,1,12,2,11,1,8,3,email
3272237,Friday,promotional,8PM-12PM,Tier1,02-05-1987,Diploma,male,unmarried,salaried,16,4,0,12,5,10,5,8,2,call
1055394,Tuesday,promotional,5PM_8PM,Tier1,08-02-1962,Post Graduate,male,married,self employeed -nonprofessional,10,3,2,11,2,9,1,9,1,facebook
2537767,Thursday,service,5PM_8PM,Tier1,12-10-1968,Diploma,male,u,self employeed -nonprofessional,18,4,0,17,2,8,4,10,3,facebook
4306124,Sunday,service,2PM_5PM,Tier1,28-12-1977,Post Graduate,,m,self employeed -nonprofessional,11,9,0,18,1,9,0,9,3,sms
2953467,Monday,service,8PM-12PM,Tier1,24-07-1972,Graduate,male,married,self employeed -professional,17,9,1,14,3,9,1,7,1,email
4610540,Sunday,service,2PM_5PM,Tier1,30-05-1982,Others,male,unmarried,self employeed -professional,12,3,1,16,0,11,3,3,1,email
774689,Tuesday,service,2PM_5PM,Tier1,18-07-1984,,male,married,self employeed -nonprofessional,18,5,2,13,5,14,5,7,1,call
930602,Friday,service,8PM-12PM,Tier1,20-03-1990,Graduate,male,married,self employeed -nonprofessional,18,8,0,11,3,14,0,5,1,email
1072518,Friday,promotional,5PM_8PM,Tier1,11-06-1962,Graduate,male,u,self employeed -nonprofessional,18,7,0,11,1,12,3,10,2,sms
825405,Tuesday,service,2PM_5PM,Tier1,28-01-1974,PHD,male,m,self employeed -nonprofessional,20,5,0,17,5,12,5,5,3,sms
826565,Thursday,promotional,5PM_8PM,Tier1,02-05-1990,Graduate,male,u,self employeed -nonprofessional,14,7,2,12,2,15,4,3,1,call
2650827,Saturday,service,8PM-12PM,Tier1,23-04-1968,Post Graduate,male,married,self employeed -professional,13,8,0,13,5,12,0,8,0,call
3312231,Wednesday,service,5PM_8PM,Tier1,10-01-1986,Others,male,u,salaried,20,9,0,12,2,11,4,9,1,facebook
3053759,Thursday,promotional,8AM_11AM,Tier1,26-11-1974,,male,married,self employeed -professional,12,2,1,14,2,9,1,7,2,call
3602759,Thursday,promotional,11AM_2PM,Tier1,11-08-1964,Diploma,male,married,salaried,19,5,2,15,0,7,3,7,1,facebook
4458566,Tuesday,service,5PM_8PM,Tier1,04-07-1971,Diploma,male,unmarried,self employeed -nonprofessional,12,8,1,17,1,12,5,6,0,facebook
2484980,Thursday,service,8PM-12PM,Tier1,12-04-1990,Diploma,male,unmarried,self employeed -professional,11,7,0,11,4,13,4,7,3,email
2248765,Wednesday,service,8AM_11AM,Tier1,02-03-1992,Graduate,male,,self employeed -nonprofessional,13,2,1,13,2,12,0,6,1,facebook
3598258,Monday,service,8AM_11AM,Tier1,04-10-1975,PHD,male,married,self employeed -professional,14,6,0,20,1,8,4,3,2,facebook
2194002,Saturday,service,11AM_2PM,Tier1,14-11-1967,Others,male,u,salaried,19,6,2,10,2,6,2,10,0,call
3331858,Tuesday,service,2PM_5PM,Tier1,17-12-1974,Others,male,u,self employeed -nonprofessional,17,6,2,13,5,10,3,8,1,facebook
3206979,Friday,service,8AM_11AM,Tier1,16-03-1971,Post Graduate,male,m,salaried,18,3,1,18,2,7,5,9,2,email
748675,Wednesday,service,8AM_11AM,Tier1,18-09-1963,Others,male,unmarried,salaried,12,8,2,17,1,6,0,4,2,email
3600851,Saturday,service,2PM_5PM,Tier1,02-11-1962,Post Graduate,,married,self employeed -professional,14,4,0,10,3,12,3,3,3,call
1128723,Monday,service,5PM_8PM,Tier1,18-11-1968,Post Graduate,male,m,self employeed -nonprofessional,18,4,1,18,3,15,0,3,1,call
860038,Sunday,service,5PM_8PM,Tier1,25-11-1977,Graduate,male,m,salaried,11,6,1,14,0,8,2,7,1,email
3105708,Thursday,promotional,8PM-12PM,Tier1,11-06-1960,Others,male,u,salaried,17,3,2,15,5,12,3,3,2,call
909841,Monday,promotional,8PM-12PM,Tier1,22-04-1963,,male,unmarried,self employeed -professional,10,6,1,20,0,13,3,6,1,email
4043470,Wednesday,promotional,8AM_11AM,Tier1,27-09-1973,Diploma,male,u,salaried,14,7,2,15,2,11,2,10,3,facebook
853227,Tuesday,service,2PM_5PM,Tier1,21-10-1983,Others,male,unmarried,self employeed -professional,17,7,1,20,4,14,0,8,1,call
3666068,Friday,service,2PM_5PM,Tier1,28-02-1971,PHD,male,m,self employeed -nonprofessional,10,4,0,16,0,14,2,3,3,call
1685618,Tuesday,service,2PM_5PM,Tier1,22-09-1963,Graduate,male,unmarried,self employeed -nonprofessional,19,7,0,15,3,13,4,7,3,facebook
4808182,Saturday,promotional,5PM_8PM,Tier1,24-09-1964,,male,m,self employeed -professional,12,10,2,19,2,7,1,5,3,email
2228853,Thursday,service,8PM-12PM,Tier1,03-10-1976,PHD,male,unmarried,self employeed -nonprofessional,19,6,2,16,5,11,1,7,1,call
877134,Wednesday,service,8AM_11AM,Tier1,15-05-1976,PHD,male,u,salaried,13,3,2,15,4,5,4,5,1,email
1071071,Monday,service,2PM_5PM,Tier1,10-08-1965,,male,m,salaried,15,3,1,11,0,5,5,6,2,sms
3153740,Friday,promotional,8PM-12PM,Tier1,29-04-1961,Post Graduate,male,married,self employeed -professional,15,9,2,20,3,7,2,6,2,facebook
815412,Friday,promotional,5PM_8PM,Tier1,26-10-1979,Others,male,,self employeed -nonprofessional,10,3,1,15,1,11,0,10,3,email
1598768,Monday,promotional,5PM_8PM,Tier1,23-08-1971,Graduate,male,u,self employeed -nonprofessional,16,8,1,10,5,15,2,10,2,email
1564039,Tuesday,service,8AM_11AM,Tier1,17-12-1987,,male,u,salaried,11,3,2,12,4,9,5,5,0,sms
4725993,Tuesday,service,5PM_8PM,Tier1,11-03-1984,Others,male,m,self employeed -professional,18,10,1,16,3,14,4,3,3,email
3725095,Thursday,service,8PM-12PM,Tier1,07-11-1965,Diploma,male,married,self employeed -nonprofessional,14,2,2,13,0,13,2,4,3,call
2863338,Tuesday,promotional,2PM_5PM,Tier1,10-04-1968,PHD,male,u,self employeed -professional,20,4,2,20,4,6,0,5,0,email
1286065,Thursday,service,11AM_2PM,Tier1,10-08-1976,Diploma,,unmarried,self employeed -nonprofessional,12,4,0,13,4,14,4,10,3,facebook
4383780,Saturday,service,8AM_11AM,Tier1,13-11-1983,Post Graduate,male,u,self employeed -nonprofessional,13,9,0,12,1,14,2,9,3,sms
